text	help
Appliances that alter reality when used	(every use exacts a small cost) appliances-that-alter-reality-when-used
Apps that work differently depending on your mood	(mood + feature shift) apps-that-work-differently-depending-on-your-mood
Devices that obey contradictory commands	(works only when told not to) devices-that-obey-contradictory-commands
Furniture that has opinions about interior design	(piece + critique + demand) furniture-that-has-opinions-about-interior-design
Gadgets powered by impossible energy sources	(source + delightful hazard) gadgets-powered-by-impossible-energy-sources
Household items that function in dreams	(works only while you sleep) household-items-that-function-in-dreams
Inventions that transform emotions into matter	(feeling → material + side effect) inventions-that-transform-emotions-into-matter
Kitchen appliances from an alternate dimension	(appliance + physics it ignores) kitchen-appliances-from-an-alternate-dimension
Machines built from intangible materials	(what it’s made of + failure mode) machines-built-from-intangible-materials
Machines that run on regret	(regret type + output + exhaust) machines-that-run-on-regret
Musical instruments that play emotions instead of notes	(emotion + sound + audience effect) musical-instruments-that-play-emotions-instead-of-notes
Personal assistants with bizarre limitations	(useful but hilariously specific constraints) personal-assistants-with-bizarre-limitations
Sensors tuned to imaginary phenomena	(detects X; false positives are Y) sensors-tuned-to-imaginary-phenomena
Transportation modes that ignore physics	(rule broken + one rule kept) transportation-modes-that-ignore-physics
Wearable tech with surreal side effects	(benefit + embarrassing quirk) wearable-tech-with-surreal-side-effects
