text	help
Cities that grow like living organisms	(growth rule + civic consequence) cities-that-grow-like-living-organisms
Civilizations that evolved from plants instead of animals	(adaptation + culture) civilizations-that-evolved-from-plants-instead-of-animals
Economies that trade in dreams	(value metric + trade risk) economies-that-trade-in-dreams
Forms of communication beyond human senses	(channel + thing it can’t say) forms-of-communication-beyond-human-senses
Landscapes sculpted by music	(instrument → terrain effect) landscapes-sculpted-by-music
Rules for worlds with shifting gravity	(when it flips + who adapts) rules-for-worlds-with-shifting-gravity
Societies governed by children	(rule that’s fun but costly) societies-governed-by-children
Societies where memories are currency	(rich memory + inflation risk) societies-where-memories-are-currency
Space travel using unexpected materials	(material + navigation trick) space-travel-using-unexpected-materials
Systems where identity is assigned by nature	(test + loophole) systems-where-identity-is-assigned-by-nature
Technologies powered by emotions	(feeling required + burnout risk) technologies-powered-by-emotions
Timelines with daily seasonal cycles	(schedule shaped by the season) timelines-with-daily-seasonal-cycles
Worlds where music is the primary language	(melody = meaning + misunderstandings) worlds-where-music-is-the-primary-language
Worlds where sleep is social and waking is private	(shared dream + lonely morning) worlds-where-sleep-is-social-and-waking-is-private
You are transported to any tv show or movie world	(as yourself) you-are-transported-to-any-tv-show-or-movie-world
