text	help
Backyard obstacle course ideas	(use chairs, tape, and string) backyard-obstacle-course-ideas
Board game house rules	(one playful twist per game) board-game-house-rules
Book genres to explore	(you can mash up genres) book-genres-to-explore
Card games with a standard deck	(2–4 players, quick rounds) card-games-with-a-standard-deck
Challenges to do with friends using only a phone timer	(task + time cap) challenges-to-do-with-friends-using-only-a-phone-timer
Competitive cooking challenges with fridge leftovers	(ingredient + time limit) competitive-cooking-challenges-with-fridge-leftovers
Dice games you can invent	(two dice + simple scoring) dice-games-you-can-invent
DIY trivia night	(themes + wager mechanics) diy-trivia-night
Drawing games for groups	(paper + pass and add) drawing-games-for-groups
Drinking games that don't involve drinking	(swap with silly stakes) drinking-games-that-dont-involve-drinking
Envelope puzzle hunt	(themes, items, people) envelope-puzzle-hunt
Games I could invent with stuff in this room	(objects + one rule) games-i-could-invent-with-stuff-in-this-room
Home karaoke challenges	(e.g., one‑word songs) home-karaoke-challenges
Improv scenes with two props	(objects from the room) improv-scenes-with-two-props
Mini tournaments with friends	(e.g., dice + bragging rights) mini-tournaments-with-friends
Minute‑to‑win‑it challenges	(household items only) minutetowinit-challenges
Movie night themes	(add a rule or matching snack) movie-night-themes
Movie swaps with surprise pairings	(e.g., comedy + noir) movie-swaps-with-surprise-pairings
No‑talking party games	(e.g., mimes) notalking-party-games
Odd games with friends	(invent one absurd rule) odd-games-with-friends
Parlor games to revive or create	(e.g., charades) parlor-games-to-revive-or-create
Party themes on a tiny budget	(e.g., paper hats only) party-themes-on-a-tiny-budget
Pen‑and‑paper two‑player games	(grids, dots, or hidden ships) penandpaper-twoplayer-games
Playlists organized by emotion, not genre	(feeling + 3 seed songs) playlists-organized-by-emotion-not-genre
Shows I'd create if I ran a streaming service	(premise + pilot episode hook) shows-id-create-if-i-ran-a-streaming-service
Soundtrack a day in my life	(e.g., morning anthem) soundtrack-a-day-in-my-life
Storytelling circle formats	(each line starts with…) storytelling-circle-formats
Talent show formats	(2‑minute cap + twist wheel) talent-show-formats
Theme dinner nights	(one ingredient + costume) theme-dinner-nights
Themed marathons (movies, books, hikes, etc.)	(theme + sequence + snack) themed-marathons-movies-books-hikes-etc
Things presidents do for fun	(real hobby + unexpected twist) things-presidents-do-for-fun
Things to binge that aren't TV shows	(e.g., podcasts, comics, maps) things-to-binge-that-arent-tv-shows
Treasure hunt clues	(e.g., song lyrics point to an album) treasure-hunt-clues
Unplugged music jam ideas	(found instruments + rhythm) unplugged-music-jam-ideas
Unusual hobbies	(5‑minute daily version) unusual-hobbies
Unusual live events	(odd venue + audience participation) unusual-live-events
Walking adventure rules	(dice decide turns) walking-adventure-rules
Ways to add more fun to life	(micro‑fun you can do now) ways-to-add-more-fun-to-life
Ways to entertain myself	(no‑screen, 10‑minute joys) ways-to-entertain-myself
