text	help
Analog navigation tools	(paper maps + addresses) analog-navigation-tools
Backup cooking methods	(e.g., solar cooker) backup-cooking-methods
Backup power options	(e.g., battery bank) backup-power-options
Barter items for post-disaster trade	(useful, small, non‑perishable) barter-items-for-post-disaster-trade
Clothing items for varied climates	(layering list for extremes) clothing-items-for-varied-climates
Comfort/morale items	(cards, notebook, sweets) comfortmorale-items
Go‑bag modules by person	(adult, child, pet) gobag-modules-by-person
Hygiene and sanitation kit	(buckets, bags, bleach) hygiene-and-sanitation-kit
Important documents to keep waterproof	(e.g., ID cards) important-documents-to-keep-waterproof
Items for an emergency go-bag	(essentials for 72 hours) items-for-an-emergency-go-bag
Lighting options when power fails	(e.g., headlamp) lighting-options-when-power-fails
Long-term food storage ideas	(staples you actually eat) long-term-food-storage-ideas
Medical supplies beyond basics	(e.g., chronic meds) medical-supplies-beyond-basics
Medications rotation system	(90‑day + reminders) medications-rotation-system
Nonperishable foods	(e.g., canned beans) nonperishable-foods
Off-grid energy sources	(e.g., solar) off-grid-energy-sources
Pet supplies	(food, meds, carrier, records) pet-supplies
Seasonal swap checklist	(warm/cold changes) seasonal-swap-checklist
Shelter-building materials to store	(e.g., tarp) shelter-building-materials-to-store
Spare batteries for devices	(hearing aids, radios) spare-batteries-for-devices
Tool kits by hazard	(pry bar, shutoff wrench, tarps) tool-kits-by-hazard
Tools for emergency repairs	(e.g., multitool) tools-for-emergency-repairs
Water collection	(e.g., water filter, storage, purification methods) water-collection
