text	help
Analog message systems	(e.g., bulletin board) analog-message-systems
Backup communication tools	(walkie channels + check‑in time) backup-communication-tools
Backup plans if separated	(time windows + where to leave notes) backup-plans-if-separated
Codes to convey messages discreetly	(emoji or phrasebook = meaning) codes-to-convey-messages-discreetly
Communication plan options when networks fail	(who, where, when the grid is down) communication-plan-options-when-networks-fail
Community roles to pre‑assign	(e.g., runner) community-roles-to-preassign
Contact cards to carry	(name, two numbers, meetup spot) contact-cards-to-carry
Elements of an emergency communication plan	(e.g., roles) elements-of-an-emergency-communication-plan
Ideas for organizing community drills	(simple script + donuts) ideas-for-organizing-community-drills
Info hygiene and rumor control	(verify before share) info-hygiene-and-rumor-control
Local resources	(what exists around you?) local-resources
Message drop locations	(e.g., cafe corkboard) message-drop-locations
Methods to track loved ones	(if‑then location chain) methods-to-track-loved-ones
Morale activities to rotate	(e.g., games) morale-activities-to-rotate
My survival buddy needs...	(checklist: skills, meds, constraints) my-survival-buddy-needs
Pet coordination plan	(food, care) pet-coordination-plan
Protocols for information verification	(two‑source rule + timestamp) protocols-for-information-verification
Safe meeting points for the household	(alternates) safe-meeting-points-for-the-household
Sharing resources without conflict	(posted rules, swap slots) sharing-resources-without-conflict
Ways to keep morale up	(jobs for everyone + small wins) ways-to-keep-morale-up
Ways to navigate language barriers during crises	(pictogram cards + neighbor translators) ways-to-navigate-language-barriers-during-crises
Ways to signal for help	(visible, audible, location‑coded) ways-to-signal-for-help
